Unique ID	Name (ja) — Japanese display names for Content Taxonomy 3.0; missing ids fall back to English
496	馬術・乗馬
498	エクストリームスポーツ
508	ファンタジースポーツ
509	フィールドホッケー
510	フィギュアスケート
511	釣り
512	ゴルフ
513	体操
514	狩猟・射撃
515	アイスホッケー
516	インラインスケート
517	ラクロス
520	格闘技・武道
521	オリンピック競技
524	ポーカー・プロギャンブル
525	ロデオ
526	ボート競技
527	ラグビー
530	セーリング
531	スキー
532	ビリヤード・スヌーカー
533	サッカー
535	ソフトボール
551	スポーツ用品
536	スカッシュ
537	水泳
538	卓球
539	テニス
540	陸上競技
541	バレーボール
542	ウォーキング
543	水球
544	ウエイトリフティング
546	レスリング
552	スタイル・ファッション
553	美容・ビューティー
574	ボディアート
575	子ども服
576	デザイナーズブランド
577	ファッショントレンド
578	ハイファッション
579	メンズファッション
590	パーソナルケア
595	ストリートファッション
560	レディースファッション
596	テクノロジー・コンピューティング
597	人工知能・AI
598	AR・拡張現実
599	コンピューティング
632	デジタル家電・電子機器
638	ロボット工学
639	VR・仮想現実
653	旅行
654	旅行用品
655	旅行先
663	旅行準備・アドバイス
664	旅行の種類
680	ビデオゲーム
681	家庭用ゲーム
682	eスポーツ
683	モバイルゲーム
684	PCゲーム
685	ゲームジャンル
389	戦争・紛争
3	商用トラック
8	オープンカー
9	クーペ
10	クロスオーバーSUV
11	ハッチバック
12	マイクロカー
13	ミニバン
14	オフロード車
15	ピックアップトラック
4	セダン
5	ステーションワゴン
6	SUV
7	バン
38	車載インフォテインメント
39	カーナビ
40	自動車安全技術
17	低価格車
18	認定中古車
19	クラシックカー
20	コンセプトカー
21	自動運転車
22	エコカー
23	高級車
24	スポーツカー
54	企業会計・財務
62	経営管理
63	企業金融
64	エンジェル投資
65	倒産・破産
66	事業融資
67	ファクタリング
68	企業合併・買収
69	プライベートエクイティ
70	セール・アンド・リースバック
71	ベンチャーキャピタル
72	企業IT
73	事業運営
79	事業インフラ・光熱
74	消費者問題
75	リコール
76	経営・リーダーシップ
77	官公庁ビジネス
78	環境ソリューション
55	人事
56	大企業
57	物流
58	マーケティング・広告
59	営業・セールス
60	中小企業
61	スタートアップ
81	商品市況・コモディティ
82	為替・通貨
83	金融危機
84	金融改革
85	金融規制
86	ガソリン価格
87	住宅市場
88	金利
89	雇用市場
91	広告業界
102	農業
113	アパレル業界
117	自動車業界
118	航空業界
119	バイオ・医療機器業界
120	土木業界
121	建設業界
122	防衛産業
92	教育業界
93	エンタメ業界
94	環境サービス業界
95	金融業界
96	食品業界
97	医療業界
98	ホスピタリティ業界
99	情報サービス業界
100	法務サービス業界
101	物流・運輸業界
103	経営コンサルティング業界
104	製造業界
105	機械・産業エンジニアリング業界
106	メディア業界
107	金属業界
108	非営利団体
109	製薬業界
110	電力・エネルギー業界
111	出版業界
112	不動産業界
114	小売業界
115	テクノロジー業界
116	通信業界
128	就職フェア
129	履歴書・職務経歴書
80DV8O	コミュニケーションアプリ
138	大学進学準備
139	大学院教育
140	専門職大学院
141	学部教育
144	標準テスト
193	養子縁組・里親
194	保育園・幼稚園
195	子どものネット安全
196	乳幼児の子育て
197	小学生の子育て
198	ティーンの子育て
199	特別な支援が必要な子ども
376	公共ラジオ
226	参加型スポーツ
227	ランニング・ジョギング
233	代替医療
234	ハーブ・サプリメント
235	ホリスティックヘルス
236	理学療法
237	禁煙
249	ビーズ手芸
250	キャンドル・石けん作り
251	デッサン・スケッチ
252	アクセサリー作り
253	刺しゅう・編み物
254	絵画
255	写真撮影
256	スクラップブッキング
257	木工
262	コミック・漫画本
263	切手・コイン収集
265	音声制作
266	フリーランスライティング
267	脚本執筆
268	動画制作
270	ボードゲーム・パズル
271	カードゲーム
272	テーブルトークRPG
WQC6HR	地図・ナビアプリ
288	アレルギー
306	血液疾患
312	骨・関節の疾患
313	脳・神経系の疾患
314	がん
315	風邪・インフルエンザ
316	歯の健康
317	糖尿病
318	消化器疾患
289	耳鼻咽喉の疾患
290	内分泌・代謝疾患
291	ホルモン異常
292	更年期
293	甲状腺疾患
294	目の疾患
295	足の健康
296	心臓・循環器疾患
297	感染症
298	けが・外傷
299	応急処置
300	肺・呼吸器の健康
301	心の健康
302	リプロダクティブヘルス
303	避妊
304	不妊
305	妊娠
307	性の健康
308	性感染症・性の悩み
309	皮膚の健康
310	睡眠障害
311	薬物・アルコール依存
342	アダルトアルバムオルタナティブ
339	アダルトコンテンポラリー
340	ソフトAC
341	アーバンAC
343	オルタナティブ
360	ブルース
344	子ども向け音楽
345	クラシックヒッツ
346	クラシック音楽
347	大学ラジオ
348	コメディ音楽
349	ポップ・トップ40
350	カントリー
351	ダンス・エレクトロニック
354	ゴスペル
355	ヒップホップ
356	ニューエイジ・ヒーリング
357	ジャズ
358	オールディーズ
362	R&B・ソウル・ファンク
359	レゲエ
361	宗教音楽
363	ロック
364	アルバムロック
365	オルタナティブロック
366	クラシックロック
367	ハードロック
368	ソフトロック
353	シンガーソングライター・フォーク
369	サウンドトラック・ショーチューン
352	ワールドミュージック
377	アーバンコンテンポラリー
378	バラエティ音楽
394	公的支援・生活保護
395	奨学金・学費支援
418	ガス・電気
419	インターネットプロバイダー
420	電話サービス
421	水道サービス
399	医療保険
400	住宅保険
401	生命保険
402	自動車保険
403	ペット保険
404	旅行保険
406	クレジットカード
407	住宅ローン
408	個人ローン
409	学生ローン
411	ヘッジファンド
412	投資信託
413	オプション取引
414	株式・債券
W3CW2J	仕事効率化アプリ
519	モーターサイクルスポーツ
490	大学野球
489	大学バスケットボール
488	大学アメフト
497	競馬
499	カヌー・カヤック
500	クライミング
501	ペイントボール
502	スキューバダイビング
503	スケートボード
504	スノーボード
505	サーフィン・ボディボード
506	水上スキー・ウェイクボード
522	夏季オリンピック競技
523	冬季オリンピック競技
528	ラグビーリーグ
529	ラグビーユニオン
554	ヘアケア
555	メイク・コスメ
556	ネイルケア
557	自然派・オーガニックコスメ
558	香水・フレグランス
559	スキンケア
580	メンズアクセサリー
581	メンズジュエリー・腕時計
582	メンズ服
583	メンズビジネスウェア
584	メンズカジュアル
585	メンズフォーマル
586	メンズアウター
587	メンズスポーツウェア
588	メンズ下着・パジャマ
589	メンズシューズ
591	バス・シャワー用品
592	デオドラント・制汗剤
593	オーラルケア
594	シェービング
561	レディースアクセサリー
562	レディース眼鏡
563	レディースバッグ・財布
564	帽子・スカーフ
565	レディースジュエリー・腕時計
566	レディース服
567	レディースビジネスウェア
568	レディースカジュアル
569	レディースフォーマル
570	ランジェリー・パジャマ
571	レディースアウター
572	レディーススポーツウェア
573	レディースシューズ
600	コンピューターネットワーク
601	周辺機器
602	ソフトウェア・アプリ
603	3Dグラフィックス
608	ウイルス対策ソフト
609	ブラウザ
610	CGアニメーション
611	データベース
612	DTP
613	デジタルオーディオ
614	グラフィックソフト
615	OS・オペレーティングシステム
604	写真編集ソフト
605	シェアウェア・フリーソフト
606	動画ソフト
607	ウェブ会議
616	データストレージ
617	デスクトップパソコン
618	情報・ネットワークセキュリティ
619	インターネット
620	クラウドコンピューティング
623	メール
624	初心者向けインターネット
625	IoT
626	IT・ネットサポート
627	検索
628	SNS・ソーシャルネットワーク
629	ウェブデザイン・HTML
621	ウェブ開発
622	ウェブホスティング
630	ノートパソコン
631	プログラミング言語
633	カメラ・ビデオカメラ
634	ホームエンターテインメント機器
635	スマートフォン
636	タブレット・電子書籍リーダー
637	ウェアラブル端末
656	アフリカ旅行
657	アジア旅行
658	オーストラリア・オセアニア旅行
659	ヨーロッパ旅行
660	北米旅行
661	極地旅行
662	南米旅行
665	アドベンチャー旅行
672	飛行機の旅
673	ビーチリゾート
674	民宿・ゲストハウス
675	格安旅行
676	出張・ビジネス旅行
677	キャンプ
678	クルーズ
679	日帰り旅行
666	家族旅行
667	新婚旅行・記念日旅行
668	ホテル・モーテル
669	鉄道の旅
670	ドライブ旅行
671	スパ・温泉
686	アクションゲーム
691	アクションアドベンチャーゲーム
MQ2XML	アダルトゲーム
692	アドベンチャーゲーム
ZJG29S	カジノ・ギャンブルゲーム
693	カジュアルゲーム
694	教育ゲーム
695	フィットネスゲーム
VWGKS7	ファミリーゲーム
II436J	ホラーゲーム
696	MMO・オンラインゲーム
697	音楽・パーティーゲーム
698	パズルゲーム
VK7KD0	レースゲーム
687	ロールプレイングゲーム
688	シミュレーションゲーム
689	スポーツゲーム
690	ストラテジーゲーム
